topic	definition
A-DSF-S	<p><b>Part of Speech:</b> Adjective</p><p><b>Case:</b> Dative (indirect object, &quot;to&quot;; also location &quot;in&quot;, &quot;at&quot;; instrument, &quot;with&quot;)</p><p><b>Number:</b> Singular</p><p><b>Gender:</b> Feminine</p><p><b>Degree:</b> Superlative</p>
A-DSM	<p><b>Part of Speech:</b> Adjective</p><p><b>Case:</b> Dative (indirect object, &quot;to&quot;; also location &quot;in&quot;, &quot;at&quot;; instrument, &quot;with&quot;)</p><p><b>Number:</b> Singular</p><p><b>Gender:</b> Masculine</p>
A-DSM-C	<p><b>Part of Speech:</b> Adjective</p><p><b>Case:</b> Dative (indirect object, &quot;to&quot;; also location &quot;in&quot;, &quot;at&quot;; instrument, &quot;with&quot;)</p><p><b>Number:</b> Singular</p><p><b>Gender:</b> Masculine</p><p><b>Degree:</b> Comparative</p>
A-DSM-S	<p><b>Part of Speech:</b> Adjective</p><p><b>Case:</b> Dative (indirect object, &quot;to&quot;; also location &quot;in&quot;, &quot;at&quot;; instrument, &quot;with&quot;)</p><p><b>Number:</b> Singular</p><p><b>Gender:</b> Masculine</p><p><b>Degree:</b> Superlative</p>
A-DSN	<p><b>Part of Speech:</b> Adjective</p><p><b>Case:</b> Dative (indirect object, &quot;to&quot;; also location &quot;in&quot;, &quot;at&quot;; instrument, &quot;with&quot;)</p><p><b>Number:</b> Singular</p><p><b>Gender:</b> Neuter</p>
A-DSN-C	<p><b>Part of Speech:</b> Adjective</p><p><b>Case:</b> Dative (indirect object, &quot;to&quot;; also location &quot;in&quot;, &quot;at&quot;; instrument, &quot;with&quot;)</p><p><b>Number:</b> Singular</p><p><b>Gender:</b> Neuter</p><p><b>Degree:</b> Comparative</p>
A-GMS	<p><b>Part of Speech:</b> Adjective</p><p><b>Case:</b> Genative (possession, &quot;of&quot;; also origin or separation, &quot;from&quot;)</p><p><b>Gender:</b> Masculine</p><p><b>Degree:</b> Superlative</p>
A-GPF	<p><b>Part of Speech:</b> Adjective</p><p><b>Case:</b> Genative (possession, &quot;of&quot;; also origin or separation, &quot;from&quot;)</p><p><b>Number:</b> Plural</p><p><b>Gender:</b> Feminine</p>
A-GPM	<p><b>Part of Speech:</b> Adjective</p><p><b>Case:</b> Genative (possession, &quot;of&quot;; also origin or separation, &quot;from&quot;)</p><p><b>Number:</b> Plural</p><p><b>Gender:</b> Masculine</p>
A-GPM-C	<p><b>Part of Speech:</b> Adjective</p><p><b>Case:</b> Genative (possession, &quot;of&quot;; also origin or separation, &quot;from&quot;)</p><p><b>Number:</b> Plural</p><p><b>Gender:</b> Masculine</p><p><b>Degree:</b> Comparative</p>
A-GPN	<p><b>Part of Speech:</b> Adjective</p><p><b>Case:</b> Genative (possession, &quot;of&quot;; also origin or separation, &quot;from&quot;)</p><p><b>Number:</b> Plural</p><p><b>Gender:</b> Neuter</p>
A-GPN-C	<p><b>Part of Speech:</b> Adjective</p><p><b>Case:</b> Genative (possession, &quot;of&quot;; also origin or separation, &quot;from&quot;)</p><p><b>Number:</b> Plural</p><p><b>Gender:</b> Neuter</p><p><b>Degree:</b> Comparative</p>
A-GSF	<p><b>Part of Speech:</b> Adjective</p><p><b>Case:</b> Genative (possession, &quot;of&quot;; also origin or separation, &quot;from&quot;)</p><p><b>Number:</b> Singular</p><p><b>Gender:</b> Feminine</p>
A-GSF-C	<p><b>Part of Speech:</b> Adjective</p><p><b>Case:</b> Genative (possession, &quot;of&quot;; also origin or separation, &quot;from&quot;)</p><p><b>Number:</b> Singular</p><p><b>Gender:</b> Feminine</p><p><b>Degree:</b> Comparative</p>
A-GSM	<p><b>Part of Speech:</b> Adjective</p><p><b>Case:</b> Genative (possession, &quot;of&quot;; also origin or separation, &quot;from&quot;)</p><p><b>Number:</b> Singular</p><p><b>Gender:</b> Masculine</p>
A-GSM-C	<p><b>Part of Speech:</b> Adjective</p><p><b>Case:</b> Genative (possession, &quot;of&quot;; also origin or separation, &quot;from&quot;)</p><p><b>Number:</b> Singular</p><p><b>Gender:</b> Masculine</p><p><b>Degree:</b> Comparative</p>
A-GSN	<p><b>Part of Speech:</b> Adjective</p><p><b>Case:</b> Genative (possession, &quot;of&quot;; also origin or separation, &quot;from&quot;)</p><p><b>Number:</b> Singular</p><p><b>Gender:</b> Neuter</p>
A-GSN-S	<p><b>Part of Speech:</b> Adjective</p><p><b>Case:</b> Genative (possession, &quot;of&quot;; also origin or separation, &quot;from&quot;)</p><p><b>Number:</b> Singular</p><p><b>Gender:</b> Neuter</p><p><b>Degree:</b> Superlative</p>
A-NPF	<p><b>Part of Speech:</b> Adjective</p><p><b>Case:</b> Nominative (subject; predicate nominative)</p><p><b>Number:</b> Plural</p><p><b>Gender:</b> Feminine</p>
A-NPF-C	<p><b>Part of Speech:</b> Adjective</p><p><b>Case:</b> Nominative (subject; predicate nominative)</p><p><b>Number:</b> Plural</p><p><b>Gender:</b> Feminine</p><p><b>Degree:</b> Comparative</p>
A-NPM	<p><b>Part of Speech:</b> Adjective</p><p><b>Case:</b> Nominative (subject; predicate nominative)</p><p><b>Number:</b> Plural</p><p><b>Gender:</b> Masculine</p>
A-NPM-C	<p><b>Part of Speech:</b> Adjective</p><p><b>Case:</b> Nominative (subject; predicate nominative)</p><p><b>Number:</b> Plural</p><p><b>Gender:</b> Masculine</p><p><b>Degree:</b> Comparative</p>
A-NPN	<p><b>Part of Speech:</b> Adjective</p><p><b>Case:</b> Nominative (subject; predicate nominative)</p><p><b>Number:</b> Plural</p><p><b>Gender:</b> Neuter</p>
A-NPN-C	<p><b>Part of Speech:</b> Adjective</p><p><b>Case:</b> Nominative (subject; predicate nominative)</p><p><b>Number:</b> Plural</p><p><b>Gender:</b> Neuter</p><p><b>Degree:</b> Comparative</p>
A-NPN-S	<p><b>Part of Speech:</b> Adjective</p><p><b>Case:</b> Nominative (subject; predicate nominative)</p><p><b>Number:</b> Plural</p><p><b>Gender:</b> Neuter</p><p><b>Degree:</b> Superlative</p>
A-NSF	<p><b>Part of Speech:</b> Adjective</p><p><b>Case:</b> Nominative (subject; predicate nominative)</p><p><b>Number:</b> Singular</p><p><b>Gender:</b> Feminine</p>
A-NSF-C	<p><b>Part of Speech:</b> Adjective</p><p><b>Case:</b> Nominative (subject; predicate nominative)</p><p><b>Number:</b> Singular</p><p><b>Gender:</b> Feminine</p><p><b>Degree:</b> Comparative</p>
A-NSM	<p><b>Part of Speech:</b> Adjective</p><p><b>Case:</b> Nominative (subject; predicate nominative)</p><p><b>Number:</b> Singular</p><p><b>Gender:</b> Masculine</p>
A-NSM-ATT	<p><b>Part of Speech:</b> Adjective</p><p><b>Case:</b> Nominative (subject; predicate nominative)</p><p><b>Number:</b> Singular</p><p><b>Gender:</b> Masculine</p><p>ATTic Greek form</p>
A-NSM-C	<p><b>Part of Speech:</b> Adjective</p><p><b>Case:</b> Nominative (subject; predicate nominative)</p><p><b>Number:</b> Singular</p><p><b>Gender:</b> Masculine</p><p><b>Degree:</b> Comparative</p>
A-NSN	<p><b>Part of Speech:</b> Adjective</p><p><b>Case:</b> Nominative (subject; predicate nominative)</p><p><b>Number:</b> Singular</p><p><b>Gender:</b> Neuter</p>
A-NSN-C	<p><b>Part of Speech:</b> Adjective</p><p><b>Case:</b> Nominative (subject; predicate nominative)</p><p><b>Number:</b> Singular</p><p><b>Gender:</b> Neuter</p><p><b>Degree:</b> Comparative</p>
A-NUI	<p><b>Part of Speech:</b> Indeclinable NUmeral (Adjective)</p>
A-NUI-ABB	<p><b>Part of Speech:</b> Adjective</p><p><b>Case:</b> Nominative (subject; predicate nominative)</p><p>ABBreviated form</p>
A-VPM	<p><b>Part of Speech:</b> Adjective</p><p><b>Case:</b> Vocative (direct address)</p><p><b>Number:</b> Plural</p><p><b>Gender:</b> Masculine</p>
A-VSF	<p><b>Part of Speech:</b> Adjective</p><p><b>Case:</b> Vocative (direct address)</p><p><b>Number:</b> Singular</p><p><b>Gender:</b> Feminine</p>
A-VSM	<p><b>Part of Speech:</b> Adjective</p><p><b>Case:</b> Vocative (direct address)</p><p><b>Number:</b> Singular</p><p><b>Gender:</b> Masculine</p>
ADV	<p><b>Part of Speech:</b> Adverb or adverb and particle combined</p>
ADV-C	<p><b>Part of Speech:</b> Adverb</p><p><b>Case:</b> Accusative (direct object; motion toward; time: &quot;how long&quot;)</p><p>Contracted form</p>
ADV-I	<p><b>Part of Speech:</b> Adverb</p><p><b>Case:</b> Accusative (direct object; motion toward; time: &quot;how long&quot;)</p><p>Interrogative</p>
ADV-K	<p><b>Part of Speech:</b> Adverb</p><p><b>Case:</b> Accusative (direct object; motion toward; time: &quot;how long&quot;)</p><p>Combined with &quot;kai&quot;, contracted form</p>
ADV-S	<p><b>Part of Speech:</b> Adverb</p><p><b>Case:</b> Accusative (direct object; motion toward; time: &quot;how long&quot;)</p><p><b>Degree:</b> Superlative</p>
ARAM	<p><b>Part of Speech:</b> ARAMaic transliterated word (indeclinable)</p>
C-APM	<p><b>Part of Speech:</b> reCiprocal pronoun</p><p><b>Case:</b> Accusative (direct object; motion toward; time: &quot;how long&quot;)</p><p><b>Number:</b> Plural</p><p><b>Gender:</b> Masculine</p>
C-DPM	<p><b>Part of Speech:</b> reCiprocal pronoun</p><p><b>Case:</b> Dative (indirect object, &quot;to&quot;; also location &quot;in&quot;, &quot;at&quot;; instrument, &quot;with&quot;)</p><p><b>Number:</b> Plural</p><p><b>Gender:</b> Masculine</p>
C-DPN	<p><b>Part of Speech:</b> reCiprocal pronoun</p><p><b>Case:</b> Dative (indirect object, &quot;to&quot;; also location &quot;in&quot;, &quot;at&quot;; instrument, &quot;with&quot;)</p><p><b>Number:</b> Plural</p><p><b>Gender:</b> Neuter</p>
C-GPM	<p><b>Part of Speech:</b> reCiprocal pronoun</p><p><b>Case:</b> Genative (possession, &quot;of&quot;; also origin or separation, &quot;from&quot;)</p><p><b>Number:</b> Plural</p><p><b>Gender:</b> Masculine</p>
C-GPN	<p><b>Part of Speech:</b> reCiprocal pronoun</p><p><b>Case:</b> Genative (possession, &quot;of&quot;; also origin or separation, &quot;from&quot;)</p><p><b>Number:</b> Plural</p><p><b>Gender:</b> Neuter</p>
COND	<p><b>Part of Speech:</b> CONDitional particle or conjunction</p>
COND-K	<p><b>Part of Speech:</b> Conjunction &quot;kai&quot; with particle, contracted form</p>
CONJ	<p><b>Part of Speech:</b> CONJunction or conjunctive particle</p>
D-APF	<p><b>Part of Speech:</b> Demonstrative pronoun</p><p><b>Case:</b> Accusative (direct object; motion toward; time: &quot;how long&quot;)</p><p><b>Number:</b> Plural</p><p><b>Gender:</b> Feminine</p>
D-APM	<p><b>Part of Speech:</b> Demonstrative pronoun</p><p><b>Case:</b> Accusative (direct object; motion toward; time: &quot;how long&quot;)</p><p><b>Number:</b> Plural</p><p><b>Gender:</b> Masculine</p>
D-APM-K	<p><b>Part of Speech:</b> Demonstrative pronoun</p><p><b>Case:</b> Accusative (direct object; motion toward; time: &quot;how long&quot;)</p><p><b>Number:</b> Plural</p><p><b>Gender:</b> Masculine</p><p>Combined with &quot;kai&quot;, contracted form</p>
D-APN	<p><b>Part of Speech:</b> Demonstrative pronoun</p><p><b>Case:</b> Accusative (direct object; motion toward; time: &quot;how long&quot;)</p><p><b>Number:</b> Plural</p><p><b>Gender:</b> Neuter</p>
D-ASF	<p><b>Part of Speech:</b> Demonstrative pronoun</p><p><b>Case:</b> Accusative (direct object; motion toward; time: &quot;how long&quot;)</p><p><b>Number:</b> Singular</p><p><b>Gender:</b> Feminine</p>
D-ASM	<p><b>Part of Speech:</b> Demonstrative pronoun</p><p><b>Case:</b> Accusative (direct object; motion toward; time: &quot;how long&quot;)</p><p><b>Number:</b> Singular</p><p><b>Gender:</b> Masculine</p>
D-ASM-K	<p><b>Part of Speech:</b> Demonstrative pronoun</p><p><b>Case:</b> Accusative (direct object; motion toward; time: &quot;how long&quot;)</p><p><b>Number:</b> Singular</p><p><b>Gender:</b> Masculine</p><p>Combined with &quot;kai&quot;, contracted form</p>
D-ASN	<p><b>Part of Speech:</b> Demonstrative pronoun</p><p><b>Case:</b> Accusative (direct object; motion toward; time: &quot;how long&quot;)</p><p><b>Number:</b> Singular</p><p><b>Gender:</b> Neuter</p>
D-DPF	<p><b>Part of Speech:</b> Demonstrative pronoun</p><p><b>Case:</b> Dative (indirect object, &quot;to&quot;; also location &quot;in&quot;, &quot;at&quot;; instrument, &quot;with&quot;)</p><p><b>Number:</b> Plural</p><p><b>Gender:</b> Feminine</p>
D-DPM	<p><b>Part of Speech:</b> Demonstrative pronoun</p><p><b>Case:</b> Dative (indirect object, &quot;to&quot;; also location &quot;in&quot;, &quot;at&quot;; instrument, &quot;with&quot;)</p><p><b>Number:</b> Plural</p><p><b>Gender:</b> Masculine</p>
D-DPM-C	<p><b>Part of Speech:</b> Demonstrative pronoun</p><p><b>Case:</b> Dative (indirect object, &quot;to&quot;; also location &quot;in&quot;, &quot;at&quot;; instrument, &quot;with&quot;)</p><p><b>Number:</b> Plural</p><p><b>Gender:</b> Masculine</p><p>Contracted form</p>
D-DPN	<p><b>Part of Speech:</b> Demonstrative pronoun</p><p><b>Case:</b> Dative (indirect object, &quot;to&quot;; also location &quot;in&quot;, &quot;at&quot;; instrument, &quot;with&quot;)</p><p><b>Number:</b> Plural</p><p><b>Gender:</b> Neuter</p>
D-DSF	<p><b>Part of Speech:</b> Demonstrative pronoun</p><p><b>Case:</b> Dative (indirect object, &quot;to&quot;; also location &quot;in&quot;, &quot;at&quot;; instrument, &quot;with&quot;)</p><p><b>Number:</b> Singular</p><p><b>Gender:</b> Feminine</p>
D-DSM	<p><b>Part of Speech:</b> Demonstrative pronoun</p><p><b>Case:</b> Dative (indirect object, &quot;to&quot;; also location &quot;in&quot;, &quot;at&quot;; instrument, &quot;with&quot;)</p><p><b>Number:</b> Singular</p><p><b>Gender:</b> Masculine</p>
D-DSN	<p><b>Part of Speech:</b> Demonstrative pronoun</p><p><b>Case:</b> Dative (indirect object, &quot;to&quot;; also location &quot;in&quot;, &quot;at&quot;; instrument, &quot;with&quot;)</p><p><b>Number:</b> Singular</p><p><b>Gender:</b> Neuter</p>
D-GPF	<p><b>Part of Speech:</b> Demonstrative pronoun</p><p><b>Case:</b> Genative (possession, &quot;of&quot;; also origin or separation, &quot;from&quot;)</p><p><b>Number:</b> Plural</p><p><b>Gender:</b> Feminine</p>
D-GPM	<p><b>Part of Speech:</b> Demonstrative pronoun</p><p><b>Case:</b> Genative (possession, &quot;of&quot;; also origin or separation, &quot;from&quot;)</p><p><b>Number:</b> Plural</p><p><b>Gender:</b> Masculine</p>
D-GPN	<p><b>Part of Speech:</b> Demonstrative pronoun</p><p><b>Case:</b> Genative (possession, &quot;of&quot;; also origin or separation, &quot;from&quot;)</p><p><b>Number:</b> Plural</p><p><b>Gender:</b> Neuter</p>
D-GSF	<p><b>Part of Speech:</b> Demonstrative pronoun</p><p><b>Case:</b> Genative (possession, &quot;of&quot;; also origin or separation, &quot;from&quot;)</p><p><b>Number:</b> Singular</p><p><b>Gender:</b> Feminine</p>
D-GSM	<p><b>Part of Speech:</b> Demonstrative pronoun</p><p><b>Case:</b> Genative (possession, &quot;of&quot;; also origin or separation, &quot;from&quot;)</p><p><b>Number:</b> Singular</p><p><b>Gender:</b> Masculine</p>
D-GSN	<p><b>Part of Speech:</b> Demonstrative pronoun</p><p><b>Case:</b> Genative (possession, &quot;of&quot;; also origin or separation, &quot;from&quot;)</p><p><b>Number:</b> Singular</p><p><b>Gender:</b> Neuter</p>
D-NPF	<p><b>Part of Speech:</b> Demonstrative pronoun</p><p><b>Case:</b> Nominative (subject; predicate nominative)</p><p><b>Number:</b> Plural</p><p><b>Gender:</b> Feminine</p>
D-NPM	<p><b>Part of Speech:</b> Demonstrative pronoun</p><p><b>Case:</b> Nominative (subject; predicate nominative)</p><p><b>Number:</b> Plural</p><p><b>Gender:</b> Masculine</p>
D-NPM-K	<p><b>Part of Speech:</b> Demonstrative pronoun</p><p><b>Case:</b> Nominative (subject; predicate nominative)</p><p><b>Number:</b> Plural</p><p><b>Gender:</b> Masculine</p><p>Combined with &quot;kai&quot;, contracted form</p>
D-NPN	<p><b>Part of Speech:</b> Demonstrative pronoun</p><p><b>Case:</b> Nominative (subject; predicate nominative)</p><p><b>Number:</b> Plural</p><p><b>Gender:</b> Neuter</p>
D-NPN-K	<p><b>Part of Speech:</b> Demonstrative pronoun</p><p><b>Case:</b> Nominative (subject; predicate nominative)</p><p><b>Number:</b> Plural</p><p><b>Gender:</b> Neuter</p><p>Combined with &quot;kai&quot;, contracted form</p>
D-NSF	<p><b>Part of Speech:</b> Demonstrative pronoun</p><p><b>Case:</b> Nominative (subject; predicate nominative)</p><p><b>Number:</b> Singular</p><p><b>Gender:</b> Feminine</p>
D-NSM	<p><b>Part of Speech:</b> Demonstrative pronoun</p><p><b>Case:</b> Nominative (subject; predicate nominative)</p><p><b>Number:</b> Singular</p><p><b>Gender:</b> Masculine</p>
D-NSM-K	<p><b>Part of Speech:</b> Demonstrative pronoun</p><p><b>Case:</b> Nominative (subject; predicate nominative)</p><p><b>Number:</b> Singular</p><p><b>Gender:</b> Masculine</p><p>Combined with &quot;kai&quot;, contracted form</p>
D-NSN	<p><b>Part of Speech:</b> Demonstrative pronoun</p><p><b>Case:</b> Nominative (subject; predicate nominative)</p><p><b>Number:</b> Singular</p><p><b>Gender:</b> Neuter</p>
F-1ASM	<p><b>Part of Speech:</b> reFlexive pronoun</p><p><b>Person:</b> first [I]</p><p><b>Case:</b> Accusative (direct object; motion toward; time: &quot;how long&quot;)</p><p><b>Number:</b> Singular</p><p><b>Gender:</b> Masculine</p>
F-1DSM	<p><b>Part of Speech:</b> reFlexive pronoun</p><p><b>Person:</b> first [I]</p><p><b>Case:</b> Dative (indirect object, &quot;to&quot;; also location &quot;in&quot;, &quot;at&quot;; instrument, &quot;with&quot;)</p><p><b>Number:</b> Singular</p><p><b>Gender:</b> Masculine</p>
F-1GSM	<p><b>Part of Speech:</b> reFlexive pronoun</p><p><b>Person:</b> first [I]</p><p><b>Case:</b> Genative (possession, &quot;of&quot;; also origin or separation, &quot;from&quot;)</p><p><b>Number:</b> Singular</p><p><b>Gender:</b> Masculine</p>
F-2ASM	<p><b>Part of Speech:</b> reFlexive pronoun</p><p><b>Person:</b> second [you]</p><p><b>Case:</b> Accusative (direct object; motion toward; time: &quot;how long&quot;)</p><p><b>Number:</b> Singular</p><p><b>Gender:</b> Masculine</p>
F-2ASM-C	<p><b>Part of Speech:</b> reFlexive pronoun</p><p><b>Person:</b> second [you]</p><p><b>Case:</b> Accusative (direct object; motion toward; time: &quot;how long&quot;)</p><p><b>Number:</b> Singular</p><p><b>Gender:</b> Masculine</p><p>Contracted form</p>
F-2DSM	<p><b>Part of Speech:</b> reFlexive pronoun</p><p><b>Person:</b> second [you]</p><p><b>Case:</b> Dative (indirect object, &quot;to&quot;; also location &quot;in&quot;, &quot;at&quot;; instrument, &quot;with&quot;)</p><p><b>Number:</b> Singular</p><p><b>Gender:</b> Masculine</p>
F-2GSM	<p><b>Part of Speech:</b> reFlexive pronoun</p><p><b>Person:</b> second [you]</p><p><b>Case:</b> Genative (possession, &quot;of&quot;; also origin or separation, &quot;from&quot;)</p><p><b>Number:</b> Singular</p><p><b>Gender:</b> Masculine</p>
F-3APF	<p><b>Part of Speech:</b> reFlexive pronoun</p><p><b>Person:</b> third [they]</p><p><b>Case:</b> Accusative (direct object; motion toward; time: &quot;how long&quot;)</p><p><b>Number:</b> Plural</p><p><b>Gender:</b> Feminine</p>
F-3APM	<p><b>Part of Speech:</b> reFlexive pronoun</p><p><b>Person:</b> third [they]</p><p><b>Case:</b> Accusative (direct object; motion toward; time: &quot;how long&quot;)</p><p><b>Number:</b> Plural</p><p><b>Gender:</b> Masculine</p>
F-3APN	<p><b>Part of Speech:</b> reFlexive pronoun</p><p><b>Person:</b> third [they]</p><p><b>Case:</b> Accusative (direct object; motion toward; time: &quot;how long&quot;)</p><p><b>Number:</b> Plural</p><p><b>Gender:</b> Neuter</p>
F-3ASF	<p><b>Part of Speech:</b> reFlexive pronoun</p><p><b>Person:</b> third [she]</p><p><b>Case:</b> Accusative (direct object; motion toward; time: &quot;how long&quot;)</p><p><b>Number:</b> Singular</p><p><b>Gender:</b> Feminine</p>
F-3ASM	<p><b>Part of Speech:</b> reFlexive pronoun</p><p><b>Person:</b> third [he]</p><p><b>Case:</b> Accusative (direct object; motion toward; time: &quot;how long&quot;)</p><p><b>Number:</b> Singular</p><p><b>Gender:</b> Masculine</p>
F-3ASN	<p><b>Part of Speech:</b> reFlexive pronoun</p><p><b>Person:</b> third [it]</p><p><b>Case:</b> Accusative (direct object; motion toward; time: &quot;how long&quot;)</p><p><b>Number:</b> Singular</p><p><b>Gender:</b> Neuter</p>
F-3DPF	<p><b>Part of Speech:</b> reFlexive pronoun</p><p><b>Person:</b> third [they]</p><p><b>Case:</b> Dative (indirect object, &quot;to&quot;; also location &quot;in&quot;, &quot;at&quot;; instrument, &quot;with&quot;)</p><p><b>Number:</b> Plural</p><p><b>Gender:</b> Feminine</p>
F-3DPM	<p><b>Part of Speech:</b> reFlexive pronoun</p><p><b>Person:</b> third [they]</p><p><b>Case:</b> Dative (indirect object, &quot;to&quot;; also location &quot;in&quot;, &quot;at&quot;; instrument, &quot;with&quot;)</p><p><b>Number:</b> Plural</p><p><b>Gender:</b> Masculine</p>
F-3DSF	<p><b>Part of Speech:</b> reFlexive pronoun</p><p><b>Person:</b> third [she]</p><p><b>Case:</b> Dative (indirect object, &quot;to&quot;; also location &quot;in&quot;, &quot;at&quot;; instrument, &quot;with&quot;)</p><p><b>Number:</b> Singular</p><p><b>Gender:</b> Feminine</p>
F-3DSM	<p><b>Part of Speech:</b> reFlexive pronoun</p><p><b>Person:</b> third [he]</p><p><b>Case:</b> Dative (indirect object, &quot;to&quot;; also location &quot;in&quot;, &quot;at&quot;; instrument, &quot;with&quot;)</p><p><b>Number:</b> Singular</p><p><b>Gender:</b> Masculine</p>
F-3GPM	<p><b>Part of Speech:</b> reFlexive pronoun</p><p><b>Person:</b> third [they]</p><p><b>Case:</b> Genative (possession, &quot;of&quot;; also origin or separation, &quot;from&quot;)</p><p><b>Number:</b> Plural</p><p><b>Gender:</b> Masculine</p>
F-3GSF	<p><b>Part of Speech:</b> reFlexive pronoun</p><p><b>Person:</b> third [she]</p><p><b>Case:</b> Genative (possession, &quot;of&quot;; also origin or separation, &quot;from&quot;)</p><p><b>Number:</b> Singular</p><p><b>Gender:</b> Feminine</p>
F-3GSM	<p><b>Part of Speech:</b> reFlexive pronoun</p><p><b>Person:</b> third [he]</p><p><b>Case:</b> Genative (possession, &quot;of&quot;; also origin or separation, &quot;from&quot;)</p><p><b>Number:</b> Singular</p><p><b>Gender:</b> Masculine</p>
F-GPF	<p><b>Part of Speech:</b> reFlexive pronoun</p><p><b>Case:</b> Genative (possession, &quot;of&quot;; also origin or separation, &quot;from&quot;)</p><p><b>Number:</b> Plural</p><p><b>Gender:</b> Feminine</p>
HEB	<p><b>Part of Speech:</b> HEBrew transliterated word (indeclinable)</p>
